,0
116,1002.0733333333334
117,1009.5933333333334
118,1072.6233333333332
119,1150.7383333333332
120,1380.9333333333334
121,1621.2566666666667
122,1733.9533333333334
123,1855.2833333333333
124,1716.9766666666667
125,1526.47
126,1292.4633333333334
127,1113.67
128,858.6133333333333
129,703.7133333333334
130,733.7933333333333
131,886.46
132,1328.8766666666668
133,1570.0866666666666
134,1534.8933333333334
135,1143.45
136,1244.4766666666667
137,1070.9233333333334
138,1135.51
139,1160.7933333333333
140,1078.8833333333334
141,1067.9766666666667
142,1072.38
143,1055.07
144,1387.7166666666667
145,1545.0332777777783
146,1583.0533333333333
147,1800.0766666666666
148,1694.12
149,1505.2672222222222
150,1212.9069166666663
151,1037.7528888888892
152,809.5033333333333
153,718.9666666666667
154,742.76
155,998.4866666666667
156,1146.2166666666667
157,1428.28
158,1356.2866666666666
159,1256.2566666666667
160,1162.24
161,1043.42
162,1180.866111111111
163,1152.4533333333334
164,1080.8066666666666
165,993.95
166,1036.9133333333334
167,1132.85
168,1415.948
169,1612.63
170,1686.6966666666667
171,1808.4233333333334
172,1652.8333333333333
173,1490.4066666666668
174,1244.3533333333332
175,1038.9733333333334
176,820.8333333333334
177,725.0066666666667
178,747.4025396825398
179,875.6466666666666
180,1414.7255555555555
181,1488.542857142857
182,1486.6966666666667
183,1244.2423333333334
184,1300.96
185,1195.2833333333333
186,1177.3433333333332
187,1081.9666666666667
188,1044.0433333333333
189,967.6266666666667
190,1055.0433333333333
191,1175.0298333333333
192,1404.7233333333334
193,1592.2033333333334
194,1744.1269444444445
195,1813.3433333333332
196,1725.68
197,1519.55
198,1237.9533333333334
199,1024.8033333333333
200,864.3827777777778
201,707.0166666666667
202,718.9366666666666
203,814.43
204,1094.6733333333334
205,1422.92
206,1404.5133333333333
207,1238.21
208,1140.5566666666666
209,1106.4133333333334
210,1060.3566666666666
211,1083.0366666666666
212,1016.6033333333334
213,987.7066666666667
214,1017.38
215,1156.1466666666668
216,1360.0033333333333
217,1597.7933333333333
218,1702.6733333333334
219,1814.0606666666665
220,1726.8233333333333
221,1533.1233333333332
222,1268.3733333333332
223,1070.34
224,869.2066666666667
225,716.5633333333334
226,733.4433333333334
227,836.2066666666667
228,1152.4366666666667
229,1457.8666666666666
230,1559.37
231,1306.62
232,1314.9433333333334
233,1232.7866666666666
234,1183.5133333333333
235,1194.57
236,1093.7533333333333
237,1064.62
238,1083.0233333333333
239,1224.3066666666666
240,1455.4133333333334
241,1654.8566666666666
242,1814.8066666666666
243,1823.7516666666668
244,1713.32
245,1485.18
246,1230.4133333333334
247,1032.3066666666666
248,825.8966666666666
249,731.74
250,702.1414444444445
251,815.7566666666667
252,1280.5033333333333
253,1666.3790000000001
254,1553.71
255,1392.27
256,1232.2666666666667
257,1217.3466666666666
258,1081.3766666666668
259,1039.1633333333334
260,1017.3033333333333
261,1068.8973333333333
262,1015.8697222222221
263,1212.4066666666668
264,1406.99
265,1594.6133333333332
266,1830.2433333333333
267,1835.0666666666666
268,1671.47
269,1541.3566666666666
270,1262.9233333333334
271,1017.5133333333333
272,859.0294285714285
273,751.01
274,777.2
275,911.1966666666667
276,1251.6266666666668
277,1611.245
278,1522.8533333333332
279,1285.9066666666668
280,1274.4433333333334
281,1090.8872222222224
282,1226.1366666666668
283,1152.0633333333333
284,1091.92
285,1091.3466666666666
286,1041.0033333333333
287,1221.0966666666666
288,1405.988
289,1682.0866666666666
