,‹TŽRŽs,0
716,146,171.22
717,131,234.07666666666665
718,152,323.92
719,252,360.6206666666666
720,364,423.206
721,446,450.88666666666666
722,443,435.5233333333333
723,406,377.44666666666666
724,402,326.4766666666667
725,348,299.49888888888887
726,326,276.89666666666665
727,289,252.04666666666665
728,296,250.69666666666666
729,341,274.1666666666667
730,430,377.62
731,532,408.33
732,598,501.14
733,682,544.0333333333333
734,639,543.4588888888889
735,538,521.4066666666666
736,437,405.12
737,336,340.09
738,218,205.18
739,167,178.99666666666667
740,161,163.12
741,176,199.35666666666665
742,314,296.12333333333333
743,430,336.97
744,461,414.93666666666667
745,452,419.93333333333334
746,411,410.47
747,372,368.0966666666667
748,338,329.14666666666665
749,323,313.1533333333333
750,282,268.31666666666666
751,280,279.12666666666667
752,295,272.52
753,334,304.51
754,434,352.18
755,525,430.8233333333333
756,629,506.1
757,705,542.6533333333333
758,619,512.6733333333333
759,542,460.7
760,403,358.32177777777775
761,312,274.53333333333336
762,205,214.20333333333335
763,145,190.88194444444446
764,143,149.12333333333333
765,211,223.51333333333332
766,325,297.4433333333333
767,445,394.1866111111111
768,482,399.63166666666666
769,496,403.2266666666667
770,464,427.43333333333334
771,400,359.2966666666667
772,368,333.4185
773,309,331.51666666666665
774,287,273.03
775,279,276.9533333333333
776,275,343.2966666666667
777,363,338.98
778,423,400.62399999999997
779,506,496.30333333333334
780,628,509.7133333333333
781,668,571.97
782,617,553.4522222222223
783,524,460.39666666666665
784,400,373.6666666666667
785,295,323.66333333333336
786,207,191.4
787,160,189.59666666666666
788,148,162.37
789,193,228.13666666666666
790,327,294.94466666666665
791,453,358.00333333333333
792,515,448.9433333333333
793,509,467.0733333333333
794,459,399.8618333333333
795,392,414.4066666666667
796,343,325.52
797,313,316.83
798,279,297.8
799,265,269.68666666666667
800,315,274.2733333333333
801,321,339.4633333333333
802,429,359.1544444444445
803,508,421.5933333333333
804,624,587.69
805,673,572.36
806,608,509.81
807,532,535.1033333333334
808,405,392.7777777777778
809,291,298.1604285714286
810,218,201.82111111111112
811,165,170.58666666666667
812,143,164.15666666666667
813,182,204.60666666666665
814,323,297.5313333333333
815,441,353.87666666666667
816,462,422.54333333333335
817,466,437.05
818,434,450.21416666666664
819,370,353.9866666666667
820,339,299.53
821,318,345.4066666666667
822,304,258.8466666666667
823,295,279.1
824,314,259.6166666666667
825,321,283.98333333333335
826,405,387.11
827,515,462.12333333333333
828,596,503.5466666666667
829,649,606.8866666666667
830,633,514.3233333333334
831,525,458.94166666666666
832,406,385.19083333333333
833,309,287.36
834,207,205.43333333333334
835,182,173.71
836,150,155.70333333333335
837,195,217.52022222222223
838,325,318.12466666666666
839,466,348.43666666666667
840,505,462.5877777777777
841,501,448.14888888888896
842,463,443.2033333333333
843,408,391.1
844,361,354.4633333333333
845,325,324.50666666666666
846,295,351.56772222222224
847,296,257.58
848,299,278.9913888888889
849,331,318.0733333333333
850,441,383.24333333333334
851,487,476.37
852,555,541.418888888889
853,625,565.1966666666667
854,582,521.6066666666667
855,505,473.99666666666667
856,423,377.57666666666665
857,313,269.0233333333333
858,191,221.35244444444444
859,165,157.04416666666665
860,142,166.82333333333332
861,155,154.95
862,226,243.73666666666668
863,357,363.78333333333336
864,465,413.90460317460315
865,570,416.60333333333335
866,517,392.83683333333335
867,440,382.11333333333334
868,414,327.81
869,350,342.19666666666666
870,321,285.83
871,281,282.5833333333333
872,272,271.6933333333333
873,328,314.17
874,399,366.52
875,451,443.5
876,524,440.65
877,583,464.32666666666665
878,545,516.2666666666667
879,498,456.0893333333333
880,414,360.11311111111104
881,302,299.53
882,215,217.82
883,155,177.01133333333334
884,141,148.48
885,144,166.17
886,210,275.9633333333333
887,326,395.0908333333333
888,474,424.5288888888889
889,520,461.06666666666666
890,539,403.41333333333336
891,465,413.87
892,434,352.43
893,417,320.4291666666667
894,358,294.94
895,279,246.02666666666667
896,304,285.0855555555556
897,330,293.47333333333336
898,449,365.74666666666667
899,511,502.74
900,575,469.12
901,664,572.5866666666667
902,620,524.9533333333334
903,494,455.69666666666666
904,418,360.50666666666666
905,304,286.29
906,207,204.227
907,159,155.11
908,139,146.57666666666665
909,184,164.51166666666666
910,306,324.44
911,451,396.96777777777777
912,472,465.44
913,490,433.26
914,470,431.2133333333333
915,393,336.41
916,366,326.27666666666664
917,343,345.69666666666666
918,308,482.3066666666667
919,278,279.62
920,291,290.6933333333333
921,325,328.3433333333333
922,423,346.8933333333333
923,507,402.24333333333334
924,651,511.3666666666667
925,689,535.6233333333333
926,607,531.181111111111
927,525,485.3183333333333
928,384,366.23133333333334
929,294,359.452
930,191,195.5077777777778
931,148,159.69916666666666
932,159,162.35
933,204,227.17
934,331,340.61333333333334
935,467,377.79333333333335
936,491,452.23
937,513,420.08
938,483,418.96
939,445,362.58
940,410,300.39666666666665
941,324,319.08
942,304,345.4633333333333
943,298,284.94
944,292,290.6933333333333
945,390,330.79
946,478,398.0133333333333
947,513,391.5466666666667
948,603,566.4
949,670,617.48
950,622,545.5166666666667
951,516,470.9766666666667
952,422,378.38444444444445
953,320,321.3616666666667
954,176,220.30666666666667
955,156,154.43333333333334
956,128,166.09666666666666
957,185,164.31333333333333
958,335,317.6166666666667
959,450,439.1361111111111
960,428,439.56666666666666
961,477,457.18666666666667
962,369,460.88
963,361,362.1166666666667
964,319,378.20666666666665
965,315,395.57666666666665
966,304,345.17
967,324,372.8566666666667
968,289,325.47333333333336
969,340,344.9166666666667
970,442,433.3833333333333
971,539,493.62
972,658,540.27
973,765,556.8966666666666
974,670,546.7633333333333
975,547,470.928
976,422,347.3842857142857
977,321,349.19444444444446
978,218,209.44
979,168,163.21933333333334
980,152,192.64666666666668
981,198,218.44333333333333
982,325,225.90333333333334
983,433,371.93333333333334
984,462,478.17333333333335
985,453,586.8333333333334
986,430,567.5666666666667
987,378,420.63666666666666
988,331,390.52666666666664
989,366,408.99
990,368,402.2133333333333
991,354,381.1666666666667
992,342,379.99333333333334
993,431,366.64
994,608,483.4633333333333
995,743,477.73
996,824,625.6934444444444
997,824,593.615
998,737,548.9333333333333
999,615,461.81333333333333
1000,493,370.02044444444437
1001,342,283.1238888888889
1002,276,209.5966666666667
1003,203,202.49444444444444
1004,183,170.13666666666666
1005,233,231.93333333333334
1006,330,273.06
1007,457,276.4
1008,466,462.14666666666665
1009,470,474.01666666666665
1010,448,494.05333333333334
1011,407,430.05
1012,367,361.9866666666667
1013,322,331.7366666666667
1014,298,284.3
1015,294,301.68333333333334
1016,302,283.0783333333333
1017,382,297.85333333333335
1018,435,372.49
1019,496,531.4966666666667
1020,585,490.98716666666667
1021,644,618.5316666666666
1022,602,562.8833333333333
1023,547,472.66833333333335
1024,427,417.54333333333335
1025,310,312.11022222222226
1026,223,213.185
1027,174,183.0143333333333
1028,150,162.7661111111111
1029,164,190.66266666666664
1030,237,299.12333333333333
1031,340,373.61
1032,431,430.45666666666665
1033,482,468.5733333333333
1034,478,499.0933333333333
1035,441,440.06
1036,408,380.1166666666667
1037,373,304.06666666666666
1038,325,345.91083333333336
1039,302,375.52666666666664
1040,355,421.43
1041,456,356.5833333333333
1042,496,385.36333333333334
1043,541,434.08111111111117
1044,691,490.77166666666665
1045,838,596.1416666666667
1046,822,593.7366666666667
1047,736,506.0643333333333
1048,613,417.24666666666667
1049,691,552.1533333333333
1050,594,324.7866666666667
1051,418,243.85333333333332
1052,315,253.89333333333335
1053,327,219.81333333333333
1054,399,272.8338333333333
1055,461,352.3666666666667
1056,532,455.97
1057,577,461.28
1058,552,457.2391666666667
1059,515,417.1566666666667
1060,488,337.58
1061,463,317.44
