,—éŽ­Žs,0
650,1345,1428.4466666666667
651,1293,1252.7
652,1208,1260.5133333333333
653,1197,1147.6
654,1200,1072.8
655,1049,1049.0833333333333
656,1007,1019.9366666666666
657,1015,1092.9866666666667
658,1141,1218.8666666666666
659,1423,1421.41
660,1616,1634.35
661,1823,1743.96
662,1859,1782.0366666666666
663,1714,1694.0930476190476
664,1503,1507.1266666666668
665,1264,1236.52
666,1048,1046.8
667,880,825.6666666666666
668,747,719.6766666666666
669,752,783.6766666666666
670,858,908.2
671,1196,1181.8533333333332
672,1592,1618.03
673,1519,1606.892222222222
674,1316,1453.1566666666668
675,1285,1313.81
676,1146,1170.82
677,1169,1143.7833333333333
678,1070,1086.1166666666666
679,1008,1019.81
680,1016,1020.8533333333334
681,980,1082.0133333333333
682,1093,1222.5466666666666
683,1358,1388.69
684,1595,1614.6266666666668
685,1702,1896.015
686,1739,1837.8225
687,1627,1676.9733333333334
688,1421,1476.5933333333332
689,1246,1231.1933333333334
690,1079,988.36
691,883,868.6366666666667
692,758,749.3033333333333
693,715,755.6146666666666
694,820,914.5983333333335
695,982,1201.3806666666667
696,1325,1564.91
697,1552,1615.0766666666666
698,1531,1353.1066666666666
699,1452,1320.0133333333333
700,1348,1196.134
701,1311,1064.1761111111111
702,1277,1068.86
703,1183,1019.51
704,1144,1009.29
705,1098,1046.0755555555556
706,1213,1094.0583333333334
707,1404,1371.21
708,1566,1609.8713333333335
709,1685,1727.6433333333334
710,1761,1767.6649206349207
711,1609,1701.4
712,1415,1501.7733333333333
713,1206,1211.9533333333334
714,1029,1051.96
715,875,870.8686190476191
716,709,703.3673333333334
717,679,944.3666666666667
718,732,1002.5016666666667
719,878,1161.82
720,1052,1444.9433333333334
721,1177,1410.0
722,1243,1323.4
723,1220,1128.3733333333332
724,1161,1151.6566666666668
725,1197,1016.0558333333333
726,1171,1018.0503333333332
727,1116,995.31
728,1104,971.2
729,1166,1127.96
730,1274,1127.23
731,1476,1329.7966666666666
732,1723,1673.81
733,1815,1738.4
734,1856,1827.88
735,1715,1685.39
736,1461,1686.7333333333333
737,1211,1348.1875
738,1043,999.7033333333334
739,836,825.6333333333333
740,720,716.9233333333333
741,744,712.2644444444446
742,826,868.1573333333333
743,1151,1286.9366666666667
744,1482,1527.2911111111111
745,1382,1453.8388888888887
746,1196,1210.72
747,1134,1202.6166666666666
748,1089,1108.5933333333332
749,1054,1106.02
750,1008,1086.2033333333334
751,975,1082.93
752,928,979.9469444444444
753,959,1051.6473333333333
754,1113,1225.11
755,1419,1385.91
756,1683,1601.1
757,1810,1636.4666666666667
758,1913,1834.905611111111
759,1774,1731.3366666666666
760,1547,1520.5326666666667
761,1267,1385.3566666666666
762,1054,1060.1633333333334
763,874,876.3266666666667
764,738,710.63
765,731,843.6083333333333
766,857,881.413277777778
767,1259,1405.0186666666661
768,1581,1569.2766666666666
769,1480,1504.8733333333332
770,1299,1310.2133333333334
771,1204,1205.7666666666667
772,1108,1086.9716666666668
773,1121,1189.0027777777777
774,1059,1129.9366666666667
775,1032,1033.69
776,999,1012.04
