,Žl“úŽsŽs,0
363,297,199.59666666666666
364,306,207.21333333333334
365,261,174.58
366,263,170.01222222222222
367,276,172.02833333333334
368,250,153.51666666666668
369,253,176.52666666666667
370,298,204.57666666666665
371,340,268.79
372,382,314.6494444444445
373,380,370.9266666666667
374,347,353.52299999999997
375,295,288.76
376,238,225.06333333333333
377,180,192.33
378,128,100.94
379,111,82.79333333333334
380,97,76.39333333333333
381,122,104.99666666666667
382,158,217.135
383,250,314.66333333333336
384,376,291.6011111111111
385,425,263.4066666666667
386,328,288.545
387,278,182.24666666666667
388,248,170.22333333333333
389,206,160.34666666666666
390,180,132.71333333333334
391,175,131.70333333333335
392,162,135.38333333333333
393,196,123.0
394,233,214.22666666666666
395,301,251.39333333333335
396,422,347.53333333333336
397,457,360.08666666666664
398,403,336.04222222222234
399,293,287.67333333333335
400,218,231.8222222222222
401,149,167.42666666666668
402,112,108.97361111111111
403,80,101.99666666666667
404,73,114.40333333333334
405,132,113.14
406,216,211.7433333333333
407,339,365.32666666666665
408,342,315.3772222222222
409,295,246.16222222222223
410,243,197.80666666666667
411,183,182.44666666666666
412,160,157.83666666666667
413,157,137.94
414,143,160.80333333333334
415,124,152.34133333333332
416,132,154.25
417,170,157.18333333333334
418,236,296.4211111111111
419,326,256.1503333333334
420,461,369.355
421,520,446.1166666666667
422,404,351.10833333333335
423,339,376.63
424,302,266.99333333333334
425,286,204.28666666666666
426,276,148.89
427,300,143.10333333333332
428,283,109.19
429,273,147.49
430,447,237.0482222222222
431,495,297.13666666666666
432,408,321.33944444444444
433,340,271.46666666666664
434,270,193.59666666666666
435,224,182.99333333333334
436,216,154.04666666666665
437,185,136.99333333333334
438,173,151.24666666666667
439,173,137.76666666666668
440,182,136.75
441,203,158.39
442,273,192.65333333333334
443,390,232.51666666666668
444,477,296.8061111111111
445,467,349.0933333333333
446,369,341.99
447,300,288.7033333333333
448,256,218.65333333333334
449,124,153.16333333333333
450,31,107.08333333333333
451,-9,85.55333333333333
452,75,73.70083333333334
453,128,85.58666666666667
454,241,182.046
455,402,319.0566666666667
456,379,355.8833333333333
457,310,282.6766666666667
458,255,229.42333333333335
459,194,194.01541269841266
460,174,191.89
461,158,164.77666666666667
462,155,161.71
463,164,172.69666666666666
464,143,161.05
465,166,171.13333333333333
466,231,233.92666666666668
467,300,279.8275
468,278,307.73077777777775
469,386,355.67333333333335
470,365,341.1566666666667
471,305,286.87
472,214,218.36666666666667
473,138,150.91666666666666
474,78,118.0071111111111
475,74,81.54333333333334
476,57,80.76
477,112,111.69666666666667
478,250,233.25333333333333
479,364,292.615
480,355,342.68333333333334
481,303,305.4531111111111
482,258,256.8375
483,194,190.91666666666666
484,164,178.71
485,68,168.81
486,-22,148.58666666666667
487,-35,157.64666666666668
488,157,149.85333333333332
489,218,174.59666666666666
490,287,224.74
491,374,273.5566666666667
492,451,337.1666666666667
493,465,366.2966666666667
494,425,332.42715873015874
495,332,291.07666666666665
496,151,238.16666666666666
497,115,154.26444444444445
498,116,106.16333333333333
499,94,81.14333333333333
500,98,70.97
501,108,123.88666666666667
502,205,184.41
503,364,309.05
504,358,354.4266666666667
505,275,268.3566666666667
506,238,214.29666666666665
507,199,190.54333333333332
508,175,177.36
509,151,139.34666666666666
510,144,140.19
511,147,143.42
512,149,133.29
513,155,164.65333333333334
514,217,192.96333333333334
515,277,267.0054761904762
516,379,326.89666666666665
517,429,360.79
518,385,327.1173333333333
519,312,293.51666666666665
520,235,241.32
521,166,165.27
522,134,99.92416666666665
523,90,96.20666666666666
524,89,97.21666666666667
525,95,117.77
526,164,218.19833333333332
527,238,329.50333333333333
528,313,323.87555555555554
529,339,250.15
530,308,210.27666666666667
531,246,208.97333333333333
532,213,178.19
533,201,140.39
534,181,133.35666666666665
535,163,133.65666666666667
536,161,136.77
537,217,134.15666666666667
538,273,203.63
539,337,223.38666666666666
540,392,307.18666666666667
541,425,333.23333333333335
542,374,336.70666666666665
543,317,273.8
544,245,215.41566666666668
545,164,162.62555555555556
546,121,116.87488888888889
547,96,83.14666666666666
548,85,84.73666666666666
549,95,151.02
550,157,217.135
551,223,325.86333333333334
552,328,325.68833333333333
553,360,261.03
554,312,202.32666666666665
555,278,196.07
556,212,172.17333333333335
557,184,140.60666666666665
558,168,132.24
559,164,140.25333333333333
560,157,120.35666666666667
561,197,130.75
562,286,181.61666666666667
563,366,239.95666666666668
564,428,288.99666666666667
565,436,320.99
566,400,335.38722222222225
567,315,276.8433333333333
568,224,212.35333333333332
569,155,160.21222222222224
570,113,120.35555555555557
571,82,81.85333333333334
572,83,69.52
573,151,122.38
574,205,217.70333333333335
575,328,290.1933333333333
576,373,320.6869444444444
577,295,259.32
578,237,196.13
579,200,162.29666666666665
580,196,158.20333333333335
581,158,136.72
582,148,150.35666666666665
583,155,148.40666666666667
584,135,134.54
585,175,151.63666666666666
586,242,205.30666666666667
587,309,254.28333333333333
588,367,307.34888888888884
589,385,298.26666666666665
590,348,326.00333333333333
591,272,257.0
592,201,200.25
593,151,155.97333333333333
594,105,113.82333333333334
595,79,96.04666666666667
596,87,77.40666666666667
597,122,89.13744444444443
598,195,206.133
599,311,348.15
600,335,351.4633333333333
601,267,323.6066666666667
602,216,189.69
603,178,168.45333333333335
604,168,180.48666666666668
605,153,151.43
606,142,155.13
607,145,145.41333333333333
608,132,149.90333333333334
609,186,154.76333333333332
610,240,188.23333333333332
611,308,240.91666666666666
612,362,284.68666666666667
613,385,333.784
614,342,331.0933333333333
615,284,284.3
616,209,223.67666666666668
617,151,151.31916666666666
618,107,111.18666666666667
619,83,87.44666666666667
620,73,71.15333333333334
621,106,101.88333333333334
622,204,209.17
623,315,302.19
624,365,350.0855555555555
625,297,301.37
626,233,229.03349999999998
627,188,183.66666666666666
628,172,163.28
629,144,154.62333333333333
630,155,142.24
631,157,140.09666666666666
632,144,145.09333333333333
633,168,158.16
634,224,189.29444444444445
635,313,251.01
636,371,302.4266666666667
637,387,369.8233333333333
638,355,353.81
